state,permitting_type,description,link
Illinois,Local,Illinois has no specific wind siting authority at the state level. State law authorizes local governments to establish standards for wind projects. Counties are authorized to regulate wind siting and have exclusive jurisdiction over wind siting in unincorporated areas outside of a municipal zoning jurisdiction. Municipalities may also regulate wind projects within their jurisdiction. Counties and municipalities are prohibited from implementing setback requirements for wind facilities for the exclusive use of an end user that are more restrictive than 1.1 times the height of the system.,https://www.ilga.gov/legislation/ilcs/fulltext.asp?DocName=005500050K5-12020
Indiana,Local,Indiana has no specific siting authority for wind facilities at the state level. Local governments have jurisdiction over siting decisions.,https://casetext.com/statute/indiana-code/title-36-local-government/article-7-planning-and-development/chapter-4-local-planning-and-zoning/section-36-7-4-502-comprehensive-plan-contents
Iowa,Hybrid,Project developers are required to apply for and obtain a certificate of public convenience and necessity from the Iowa Utilities Board prior to constructing an energy facility 25 MW or greater. Facilities less than 25 MW are sited on a county or municipality level.,https://casetext.com/statute/code-of-iowa/title-xi-natural-resources/subtitle-5-public-utilities/chapter-476a-electric-power-generation-and-transmission/subchapter-i-electric-power-generating-facilities
Kansas,Local,Local governments have authority to regulate wind siting through the state’s planning and zoning laws.,https://www.ksrevisor.org/statutes/ksa_ch12.html
Kentucky,Hybrid,"Electric generation facilities of 10 MW must obtain a construction certificate from the Board on Electric Generation and Siting prior to construction. Such projects must be at least 1,000 feet from the property boundary of an adjoining property owner and 2,000 feet from any residential neighborhood, school, hospital or nursing home facility. Facilities with lower generating capacity are sited through local processes. Public utility projects must conform with local comprehensive plans and are subject to review by the local planning commission.",https://casetext.com/statute/kentucky-revised-statutes/title-24-public-utilities/chapter-278-public-service-commission/electric-generation-and-transmission-siting
Louisiana,n/a,"According to the American Wind Energy Association, there is no installed onshore wind capacity in Louisiana. NCSL was unable to locate statutory authority for onshore wind energy siting.",
Maine,Hybrid,"The Department of Environmental Protection is the primary siting agency for grid-scale and smaller wind facilities with a capacity of at least 100 kWs. The statutory requirements governing this siting process require the department to consider manufacturer and expert recommendations regarding setbacks necessary to protect public safety. Applicants of grid-scale projects are required to show that the wind facility will deliver benefits to the community. Additionally, projects must comply with noise standards and be designed to minimum flicker effects. The department must also review the proposed project for scenic impacts. State siting laws authorize municipalities to review and approve energy siting projects if certain conditions are met.",http://www.mainelegislature.org/legis/statutes/35-A/title35-Ach34-Asec0.html
Maryland,State,The Public Service Commission has primary siting authority over wind generation projects. Utility-scale wind projects must obtain a certificate of public convenience and necessity from the commission prior to construction. Wind projects less than 70 MWs are still required to obtain commission approval. The commission is required to take local zoning regulations into consideration when granting approvals for larger renewable energy projects.,https://casetext.com/statute/code-of-maryland/article-public-utilities/division-i-public-services-and-utilities/title-7-gas-electric-and-water-companies/subtitle-2-electric-generation-facility-planning
Massachusetts,Local,The Energy Facilities Siting Board has jurisdiction over construction of generation facilities greater than 100 MW. Smaller energy projects are regulated by local governments.,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleXXII/Chapter164/Section69H
Michigan,Local,Local governments manage land use decisions and several have adopted ordinances regarding the siting of wind power.,http://www.legislature.mi.gov/(S(eynlthgthaquvjzpg2sdvv4z))/mileg.aspx?page=getObject&objectName=mcl-Act-110-of-2006
Minnesota,Hybrid,"The Minnesota Public Utility Commission has jurisdiction over wind facilities greater than 5 MW. Counties have jurisdiction over facilities 5 MW or less and can assume jurisdiction over facilities up to 25 MW, provided such facilities meet certain permitting standards, including setback requirements established by the commission. Counties are authorized to adopt more stringent standards than those required by the commission for wind facilities greater than 5 MW and the commission must consider such county restrictions when determining whether to approve a permit.",https://www.revisor.mn.gov/statutes/cite/216F
Mississippi,n/a,"According to the American Wind Energy Association, there is no installed capacity in Mississippi. Local governments have authority over land use and zoning decisions.",https://casetext.com/statute/mississippi-code-1972/title-17-local-government-provisions-common-to-counties-and-municipalities/chapter-1-zoning-planning-and-subdivision-regulation
Missouri,Local,Local governments have authority over land use and zoning decisions.,https://revisor.mo.gov/main/OneChapter.aspx?chapter=89
Montana,Local,There is no state level siting authority for wind energy in Montana and local governments control zoning and land use decisions.,https://leg.mt.gov/bills/mca/title_0760/chapter_0020/part_0020/section_0010/0760-0020-0020-0010.html
Nebraska,Hybrid,"Generally, energy generation projects must be approved by the Power Review Board. Private developers are not required to receive board approval, but must still notify the board 30 days prior to construction and meet certain requirements. Wind projects less than 10 MW are considered special generation projects and must be approved by the board if the project meets certain requirements.",https://nebraskalegislature.gov/laws/browse-chapters.php?chapter=70
Nevada,Hybrid,"The Public Utilities Commission issues permits for the construction of electric generation facilities, including renewable energy generating facilities greater than 70 MW. Statutes prescribing local zoning authority direct local authorities to make zoning decisions in a manner that promotes wind and solar energy systems among other land use objectives. State law also prohibits local governments from adopting ordinances that unreasonably restrict the development of wind energy.",https://www.leg.state.nv.us/nrs/NRS-704.html
New Hampshire,Hybrid,The New Hampshire Siting Evaluation Committee has jurisdiction over siting energy facilities greater than 30 MW. Developers of facilities can opt-in to the committee process for facilities less than 30 MW but greater than 5 MW upon the committee’s determination that such facility requires a certificate. The state’s wind siting guidelines developed by the committee require analyses relating to noise and shadow flicker to be submitted as part of the application process.,http://www.gencourt.state.nh.us/rsa/html/NHTOC/NHTOC-XII-162-H.htm
New Jersey,Local,"Wind generation has an “inherently beneficial use” under New Jersey’s local land use law. Local governments cannot adopt ordinances regulating small wind energy systems that unreasonably limit wind generation development. Specifically, local ordinances cannot require setbacks for small wind energy systems that are greater than 150% of the system height. This distance serves as the standard setback in absence of a local ordinance stating otherwise. There are additional restrictions for wind projects in coastal zones.",https://casetext.com/statute/new-jersey-statutes/title-40-municipalities-and-counties/chapter-4055d
New Mexico,Local,Local governments regulate wind power siting through zoning and land use regulations. The location of electricity generating projects over 300 MW must be reviewed and approved by The New Mexico Public Regulation Commission. The commission may not approve a proposed project of 300 MW or more that violates local land use law unless the commission finds the law to be unreasonably restrictive.,https://casetext.com/statute/new-mexico-statutes-1978/chapter-3-municipalities/article-21-zoning-regulations/section-3-21-1-zoning-authority-of-county-or-municipality
New York,Hybrid,"The Board of Electric Generation Siting and the Environment has siting jurisdiction over the construction of facilities with a capacity of 25 MW or more. Project developers of facilities 25 MW or more must obtain a certificate from the board prior to initiating construction. Local governments manage land use, including wind energy development, through zoning permits or enacting wind power provisions in municipal code.",https://www.nysenate.gov/legislation/laws/PBS/A10
North Carolina,State,State law prohibits the construction or operation of a wind energy facility with a capacity of 1 MW or more without a permit from the Department of Environment and Natural Resources. The department is required to hold a public hearing in each county impacted by a potential project within 75 days of receiving a permit application. There are additional requirements for wind projects located near military facilities.,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/ByArticle/Chapter_143/Article_21C.html
North Dakota,Hybrid,The North Dakota Public Service Commission has jurisdiction over siting wind energy facilities greater than 500 kW. Utilities must obtain a certificate of site compatibility from the commission prior to beginning construction. Projects must still comply with local regulations related to zoning and land use. State law establishes specific setback requirements from the property of nonparticipating landowners unless the commission grants a variance. The local zoning authority may require greater setback distances than those required under state law.,https://www.legis.nd.gov/cencode/t49c22.html
Ohio,Hybrid,"The Ohio Power Siting Board has exclusive siting authority over construction of an “economically significant wind farm” with a capacity of at least 5 MW, but less than 50 MW.  Such facilities are required to obtain a Certificate of Environmental Compatibility and Public Need from the board and meet certain setback requirements. State law requires that such setbacks be based on the total height of the turbine structure with a minimum setback requirement of 1,125 feet.  Wind facilities 50 MW or greater are designated as “major utility facilities” and are also subject to board regulations. Smaller facilities as well as those that are less than 20 MW and provide electricity to a single customer on-site are subject to local siting requirements.",https://codes.ohio.gov/orc/4906.13
Oklahoma,Hybrid,"Prior to constructing a wind facility, a project developer must submit a Notice of Intent with the Corporation Commission and provide copies of the notice to local government authorities governing land use decisions in which the project will be located. A local public hearing is required prior to commencing construction. State law establishes specific setback requirements from airports, schools and hospitals.",https://casetext.com/statute/oklahoma-statutes/title-17-corporation-commission
Oregon,Hybrid,Oregon’s Energy Facility Siting Council has jurisdiction over siting decisions for wind generation facilities 50 MW or greater. Project developers are required to obtain a site certificate prior to construction. State law further provides for project developers to elect to use the state siting approval process for any wind energy project that is less than 50 MW. Siting for wind generating facilities less than 50 MW are generally regulated by local governments,https://casetext.com/statute/oregon-revised-statutes/title-36a-housing-lottery-and-games-environment/chapter-469-energy-conservation-programs-energy-facilities/regulation-of-energy-facilities/general-provisions
Pennsylvania,Local,Local governments have authority to plan and regulate land use including the siting of wind generation facilities.,http://www.legis.state.pa.us/WU01/LI/LI/CT/PDF/53/53.PDF
Rhode Island,Local,Rhode Island's Energy Facility Siting Board licenses energy facilities 40 MW or greater. Local governments regulate siting of smaller facilities.,http://webserver.rilin.state.ri.us/Statutes/TITLE42/42-98/INDEX.HTM
South Carolina,Local,The Public Utility Commission has authority over energy siting for utility facilities greater than 75 MW. Local governments regulate the siting of smaller facilities.,"http://www.scstatehouse.gov/code/t58c033.php#:~:text=SECTION%2058%2D33%2D10.,Siting%20and%20Environmental%20Protection%20Act%22."
South Dakota,Local,"In South Dakota, any construction of a wind facility greater than 5 MW must give notice to the Public Utility Commission of the facility’s location, size and method of interconnection. No person may begin construction of a wind energy facility 100 MW or greater without first obtaining a permit from the PUC. The PUC must make a final determination regarding a wind energy permit within nine months of the permit application filing date.",https://sdlegislature.gov/Statutes/Codified_Laws/DisplayStatute.aspx?Type=Statute&Statute=49-41B-2
Tennessee,Hybrid,No person may construct a wind energy facility with a capacity of 1 MW or more or with a height in excess of 200 feet without first obtaining a Certificate of Public Convenience and Necessity from the state Public Utility Commission and obtaining local approval. Local governments are authorized to adopt local laws that regulate construction of wind energy facilities. Such laws must establish minimum setback requirements and require environmental impact and wildlife assessments.,https://casetext.com/statute/tennessee-code/title-65-public-utilities-and-carriers/chapter-17-wind-energy-facilities/section-65-17-104-permit-required
Texas,Local,"In Texas, all zoning and siting is left to local governments.",https://statutes.capitol.texas.gov/SOTWDocs/LG/htm/LG.211.htm
Utah,Local,"In Utah, all zoning and siting is left to local governments.",https://le.utah.gov/xcode/Title10/Chapter9A/10-9a-S501.html?v=C10-9a-S501_2019051420190514
Vermont,Hybrid,"Project developers must apply for and obtain a Certificate of Public Good from the Vermont Public Service Board prior to initiating site preparation or constructing a new energy generation facility. This requirement does not apply to energy generation facilities for on-site use. State law establishes parameters for all municipalities in regulating the height of renewable energy structures. In particular, state law prohibits municipal regulation of small wind turbines (less than 20 feet in diameter) unless the municipality establishes specific regulatory standards. Local governments and planning organizations for municipalities located near the proposed project are provided notice regarding a proposed project and project developers are required to submit a local impact assessment, including a visual impact analysis.",https://legislature.vermont.gov/statutes/section/30/005/00248
Virginia,Hybrid,"Project developers are required to obtain a Certificate of Public Convenience and Necessity from the Virginia State Corporation Commission prior to initiating construction of an energy generating facility used in a public utility service. State law also establishes parameters for any local ordinance regulating siting of renewable energy including that such ordinances must be consistent with Virginia’s energy policy and include provisions limiting noise and requiring setbacks, among other requirements.",https://law.lis.virginia.gov/vacode/title56/chapter10.1/
Washington,Hybrid,The Energy Facility Site Evaluation Council has regulatory authority over energy facilities greater than 350 MW and renewable energy facilities of any size that choose to participate in the council’s review process. Local governments permit smaller projects and those that choose not to go through the state-level review.,http://app.leg.wa.gov/rcw/default.aspx?cite=80.50
Washington D.C.,n/a,NCSL was unable to locate statutory authority for wind energy siting.,
West Virginia,State,The West Virginia Public Service Commission has sole authority to regulate all generation of electrical energy for service to the public. A project developer must obtain a siting certificate from the commission prior to initiating construction.,http://www.wvlegislature.gov/WVCODE/ChapterEntire.cfm?chap=24&art=2&section=11#2
Wisconsin,Hybrid,"The Wisconsin Public Service Commission has exclusive siting jurisdiction over wind energy facilities 100 MW or greater. The Commission has developed specific setback requirements depending on the facility height and property status (participating vs. nonparticipating property, public rights of way, etc.). There are separate regulations for smaller wind facilities 300 kW or less. State law authorizes local governments to develop wind siting ordinances that regulate systems up to 100 MW, provided such regulations are not more restrictive than the commission's standards.",https://docs.legis.wisconsin.gov/statutes/statutes/196/378
Wyoming,Hybrid,"State law requires project developers to obtain local approval prior to constructing a wind energy facility greater than 500 kW. Such local approvals require setbacks of at least 110% of the maximum tower height for surrounding properties and public rights of way and at least 1,000 feet from a residential dwelling or subdivision. Large wind facilities, including those with 20 turbines or more, must obtain a permit from the state Industrial Siting Council.",https://casetext.com/statute/wyoming-statutes/title-18-counties/chapter-5-planning-and-zoning/article-5-wind-and-solar-energy-facilities
