ActualOperatingYear,ActualorExpectedCompletionYear,CarbonMonoxideCO,Classification,CoalplantCO2eequivalency,Gas-poweredvehiclesequivalency,GreenhouseGasesCO2e,HazardousAirPollutantsHAPs,HazardousAirPollutantsHAPspotentiallbsperyear,IndustrySector,MortalitycostofadditionalCO2edeaths,NitrogenOxidesNOx,OperatingStatus,OperatingStatusSourceDocuments,OperatingStatusSourceDocuments_OLD,ParticulateMatterPM25,PermittingandEmissionsAccountingNotes,ProjectDescription,ProjectType,Published,ResearchNotes,SocialcostofadditionalCO2eLowerEstimate,SocialcostofadditionalCO2eUpperEstimate,SulfurDioxideSO2,VolatileOrganicCompoundsVOC,created_by,id,id_qaqc,modified_by,project_name,xata,ProductType,ConstructionStatusLastUpdated,ProjectCostmillion,CurrentExpectedOperatingYear,OriginalExpectedOperatingYear,TotalWetlandsAffectedPermanentlyacres,TotalWetlandsAffectedTemporarilyacres,PlasticsInventory,ConstructionStatusLastChecked,PlasticsInventory_ToAdd
2013,2013,46.52,New,0.03,21536.0,106592.0,13.89,27780.0,Natural Gas,22.0,82.86,Operating,[],,5.72,Emission taken from most recent permit (65-00979B).,Construction and subsequent expansion of a compressor station.,Compressor Station,True,Emission taken from most recent permit (65-00979B). Emission taken from most recent permit (65-00979B).,4931632.0,18372746.0,0.5,48.77,EIP Test Account,2903,2903,Lottie Mitchell,Herminie Compressor Station - Initial Construction,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:47.046024Z', 'version': 45}",,,,,,,,,,
2023,2023,40.24,New,0.05,37619.0,186190.0,6.27,12540.0,Natural Gas,38.0,46.37,Partially Operating,"[{'id': '0jhl703ri92jt3no3bpfe2uc70', 'name': '2020.10.29_Sabal Trail_Final Status Report under CP15-17_Phase 2.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 12860131, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/p319c0ujmp4p518tmc1vq52dek'}, {'id': 'skdv6oe7gh7tt72244jrfjmo2s', 'name': '2021.06.15_Sabal Trail_Extension of Time to Complete Construction of Phase III.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 428306, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/ntvr7tc06p2ar812t4tuanosd0'}]","{'name': None, 'file_name': '2020.10.29_Sabal Trail_Final Status Report under CP15-17_Phase 2.PDF', 'url': 'https://api.oilandgaswatch.org/d/7a/9c/7a9c6615a5c442889877d2ad5d72da99.1640018660.PDF'}, {'name': None, 'file_name': '2021.06.15_Sabal Trail_Extension of Time to Complete Construction of Phase III.PDF', 'url': 'https://api.oilandgaswatch.org/d/4a/04/4a04b405c27146ebb608c2afe7a83ce3.1640018638.PDF'}",9.07,"Applied for an extension to the commencement of construction deadline on 11/2/2017; issued 11/7/2017; deadline to construct = 12/31/2021. Construction began in 2016 (permit app/extension request, 2017). An additional 20,500 hp turbine drive compressor unit would be installed at the station during Phase 3 of the Sabal Trail Project (FEIS pg. 64).",Construction of a new natural gas compressor station as part of the Sabal Trail Pipeline Project. Initial construction was completed during Phase I of the Sabal Trail Project. An additional turbine would be installed during Phase 3 of the project.,Compressor Station,True,"Applied for an extension to the commencement of construction deadline on 11/2/2017; issued 11/7/2017; deadline to construct = 12/31/2021. Construction began in 2016 (permit app/extension request, 2017). An additional 20,500 hp turbine drive compressor unit would be installed at the station during Phase 3 of the Sabal Trail Project (FEIS pg. 64). Applied for an extension to the commencement of construction deadline on 11/2/2017; issued 11/7/2017; deadline to construct = 12/31/2021. Construction began in 2016 (permit app/extension request, 2017). An additional 20,500 hp turbine drive compressor unit would be installed at the station during Phase 3 of the Sabal Trail Project (FEIS pg. 64).",8614348.0,32092667.0,4.62,57.72,EIP Test Account,2904,2904,Alexandra Shaykevich,Hildreth Compressor Station,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:47.741549Z', 'version': 49}",,2022-12-02T00:00:00Z,,,,,,,,
2021,2021,29.4,New,0.01,8595.0,42541.0,0.39,780.0,Natural Gas,9.0,25.9,Operating,"[{'id': '6ul6ntb4gt38db8kjap4id0f18', 'name': '2021.11.30_Northern Lights 2021_Notice of In-Service for Hinckley Compressor.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 146376, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/c07ui3ge910llcgdof1qknkl2k'}]","{'name': None, 'file_name': '2021.11.30_Northern Lights 2021_Notice of In-Service for Hinckley Compressor.PDF', 'url': 'https://api.oilandgaswatch.org/d/be/12/be12172013014b1aa13a16cd17c8891b.1639584793.PDF'}",5.01,"RK 10/19/21: Minnesota Air Permit 11500038-101, pg 190-191
https://www.pca.state.mn.us/sites/default/files/11500038-101-aqpermit.pdf","Construction of a new compressor station that includes one 11,153-horsepower natural gas-fired turbine, one natural gas-fired fuel gas heating skid, and a natural gas-fired emergency engine.",Compressor Station,True,"TW 10/12/22
- In service notice submitted on November 30, 2021

---

The Northern Lights Expansion Project 2021 is currently under-construction. The operator, Northern Natural Gas Company, submitted a notice to proceed with construction to FERC in June 22, 2021 and expects to complete the project in Nov. 2021. ",1968220.0,7332586.0,0.5,15.3,EIP Test Account,2905,2905,Louisa Markow,Hinckley Compressor Station - Initial Construction,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:48.406285Z', 'version': 47}",,,,,,,,,,
2017,2017,139.7,New,0.04,34266.0,169593.0,9.267,18534.0,Natural Gas,35.0,245.12,Operating,"[{'id': 'dekfmhhh4d59788af203k70srg', 'name': '2017.4.7_Cameron Pipeline Expansion_Notice and Certification of Placing Facilities in Service.PDF', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 566651, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/ea2ulli2kt7ir2j5lj419uvsc8'}]","{'name': None, 'file_name': '2017.4.7_Cameron Pipeline Expansion_Notice and Certification of Placing Facilities in Service.PDF', 'url': 'https://api.oilandgaswatch.org/d/f9/1d/f91d87432afa4f6f97061e09da20e4d1.1636654453.PDF'}",28.36,"CM 1/2/24: emissions from 0520-00464-V4 except CO2e

PSD-LA-769 (issued 12/20/2013), PSD-LA-769 (M1) (issued 1/22/2016); 0520-00464-V2 (draft permit issued 3/24/2021); FERC Docket No. CP13-27

Criteria emissions from V2 final permit; HAPs = TAPs. GHGs from permit app.",Construction of a new compressor station associated with a pipeline connected to the Cameron LNG terminal.,Compressor Station,True,"Construction Completion and Operation Notification Permit #0520-00464-V1, available at: https://edms.deq.louisiana.gov/app/doc/view.aspx?doc=10575278&ob=yes Emissions from V2 draft permit; GHGs from permit app. M1 modification updated equipment list and reconciled as-build changes; V2 renewal/mod removed 5 never-constructed engines from the permit, and added a new 5,000 hp compressor, reconciles emission sources, insig. activities. Public comment period for V2 ends on 4/28/2021",7846464.0,29231923.0,4.7,76.4,EIP Test Account,2906,2906,Keene Kelderman,Holbrook Compressor - Initial Construction,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:49.088596Z', 'version': 47}",,,,,,,,,,
2015,2015,36.98,Expansion,0.05,38413.0,190119.0,9.97,19940.0,Oil,39.0,9.2,Operating,[],,6.97,,Modifications to limit the benzene content in gasoline.,Refinery,True,,8796128.0,32769890.0,8.98,21.66,EIP Test Account,2908,2908,Alexandra Shaykevich,HollyFrontier Naphtha Fractionation Project,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:49.786114Z', 'version': 45}",,,2918.0,,,,,,,
2016,2016,1239.5,Expansion,0.54,453049.0,2242311.0,,,Oil,459.0,835.0,Operating,[],,121.7,"HollyFrontier Tulsa Refining (HFTR) operates under Part 70 Permit No. 2017-1908-TVR3 (M-5), issued October 22, 2020.

Permit No. 2012-1062-C (M-10) (PSD) was issued on February 7, 2018, for construction of six units;

Permit No. 2012-1062-C (M-1)(PSD) was issued on April 20, 2015, for construction of units to increase the capacity of the refinery;
Permit No. 2012-1062-C (M-8)(PSD) was issued on January 8, 2016, for construction and modification of units to increase the refinery capacity;
Permit No. 2012-1062-C (M-13)(PSD) was issued on March 21, 2019, for construction and modification of units to increase the refinery capacity; and
Permit No. 2017-1908-C (M-2)(PSD) was issued on March 9, 2020, for construction and modification of units to increase the refinery capacity.; Permit No. 2012-1062-C (M-1)(PSD) was issued on April 20, 2015, for construction of units to increase the capacity of the refinery;
Permit No. 2012-1062-C (M-8)(PSD) was issued on January 8, 2016, for construction and modification of units to increase the refinery capacity;
Permit No. 2012-1062-C (M-13)(PSD) was issued on March 21, 2019, for construction and modification of units to increase the refinery capacity; and
Permit No. 2017-1908-C (M-2)(PSD) was issued on March 9, 2020, for construction and modification of units to increase the refinery capacity.","New additions and modifications to combustion units (heaters), process units, the fluid catalytic cracking unit, the continuous catalyst regenerator, and storage tanks. The refineries' total capacity will increase from 160,000 BPD to 170,000 BPD.

Various projects which will increase capacity of the Fluid Catalytic Cracking Unit (FCCU), including: replacement of the FCCU regenerator and FCCU Charge Heater B-2, replacement of the FCCU cooling tower (an end-of-life replacement with a unit of identical capacity), and other ancillary projects associated with the FCCU process unit.",Refinery,True,"OGJ, September 2015, available at: https://www.ogj.com/refining-processing/refining/operations/article/17245612/hollyfrontier-updates-refinery-projects https://s25.q4cdn.com/488560379/files/doc_financials/2020/ar/2020-HFC-Annual-Report.pdf

FOIA request submitted 8/30/21 for compliance documents or permit extensions. Completed 9/8/2021 (AS).",103743736.0,386496272.0,37.8,36.7,EIP Test Account,2910,2910,Alexandra Shaykevich,Tulsa Refinery Expansion,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:50.473312Z', 'version': 45}",,,,,,,,,,
,2029,200.5,New,0.04,36974.0,182997.79,,,Natural Gas,37.0,131.6,Proposed,[],,10.6,GHG emissions converted from metric to short tons. All emissions values taken from FEIS Vol 3,"Construction of a new gas compressor station along a pipeline associated with the state-owned Alaska LNG project. The Honolulu Creek Compressor Station will be at milepost 597.4 of the Alaska Nikiski Pipeline in the Matanuska-Susitna Borough. Its construction will permanently affect 30 acres and include one compressor turbine, three power generators, two auxiliary utility glycol heaters, and one waste incinerator.",Compressor Station,True,"AS 12/9/2022: the project would take about 8 years to complete. 2 phases of construction: 1st phase would take 6 years and include installation and start-up of LNG T1 + mainline and gas plant; 2nd phase would take another 2 years and include installation startup of T2+3

if construction begins in 2023 (which is unlikely), the earliest phase 1 could be commissioned is 2029, with full production in 2031
----------------- RK 11/29/21: Project description from pg 110, FEIS volume 1",8466655.0,31542442.0,3.5,13.7,EIP Test Account,2911,2911,Alexandra Shaykevich,Honolulu Creek Compressor Station - Initial Construction,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:51.160515Z', 'version': 45}",,2022-12-09T00:00:00Z,,2029,,,,,,
2014,2014,33.51,New,0.02,16540.0,81861.0,6.24,12480.0,Petrochemicals and Plastics,17.0,31.88,Operating,[],,5.23,"P0114073 (issued 9/30/2013), P0117240 (issued 9/2/2014), P0116897 (issued 10/14/2014), P0118897 (issued 8/11/2015), P0118867 (issued 9/15/2016), P124261 (issued 10/9/2018), P0127021 (issued 11/7/2019)

Emissions taken from P0114073 permit application (pg. 10)

P0114073 authorized constriction of Train 1; P0117240 authorized construction of Train 2; P0118897 authorized construction of Train 3; P0124261 authorized construction of Train 4; and P0127021 authorized construction of Train 5.","Construction of a new natural gas fractionation plant consisting of one fractionation train, which would be capable of processing up to 60,000 barrels of natural gas liquids every day.",Natural Gas Liquids Fractionator,True,"Fractionation Train 1 began operating in 2014 (see: https://www.mplx.com/content/documents/mplx/investor_center/2017/MarcellusUtica%20Midstream%202017%20v3.pdf) Trains 1 and 2 began operating in 2014
http://www.mplx.com/content/documents/mplx/investor_center/2017/MarcellusUtica%20Midstream%202017%20v3.pdf
Trains 3 and 4 began operating in 2018
https://www.mplx.com/content/documents/mplx/investor_center/2019/UBS_Jan_2019_Investor_Presentation_Final.pdf
Train 5 is expected to enter service in 2020
http://www.mplx.com/content/documents/mplx/investor_center/2020/MPLX_1Q20_Conf_Call_Slides.pdf

Trains 1-4 are capable of processing up to 60,000 barrels per day of NGLs to produce propane, normal butane, isobutane, and natural gasoline. Train 5 will process up to 80,000 barrels per day of NGLs.",3787417.0,14109984.0,0.41,22.7,EIP Test Account,2912,2912,Courtney Bernhardt,Hopedale Fractionation Train 1,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:51.787198Z', 'version': 45}",,,,,,,,,,
2014,2014,64.23,Expansion,0.05,40787.0,201871.0,,,Petrochemicals and Plastics,41.0,39.81,Operating,"[{'id': 'cl526h6qc17hl9pgdpicp2mvj8', 'name': '2014.10.31_Copano Processing Houston Gas Plant_Notification for Completion of Construction.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 84632, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/p8kbh4fj055jf8j5ee44phike0'}]","{'name': None, 'file_name': '2014.10.31_Copano Processing Houston Gas Plant_Notification for Completion of Construction.pdf', 'url': 'https://api.oilandgaswatch.org/d/ac/01/ac016339bd7a497b8a2f495b366de704.1636566311.pdf'}",6.9,"PSD-TX-104949-GHG and GHGPSDTX11 (issued 3/8/2013) (GHG permit rescinded 8/27/2015); TCEQ Permit No. 104949 (issued 8/20/2012, revised 11/17/2015); Criteria emissions from 11/17/2015 revised permit, technical review, page 1. GHGs from initial PSD permit.

TCEQ Standard Permit No. 104949 was amended on July 3, 2014 to replace the primary amine unit RTO controls with an electric driven compressor to capture the acid gas vent stream vapor and route it to the sales gas pipeline.

Revised 11/17/2015 to authorize the installation of a new supplemental heater (to replace the two [previous] heaters that were never built), update piping component counts and revise maximum fugitive emission estimates.",Construction of a new cryogenic process train (CRYO3) that would be capable of processing 400 million standard cubic feet of fracked gas every day. CRYO3 would increase the plant's total processing capacity to 1.5 billion standard cubic feet per day.,"Natural Gas Liquids Fractionator, Gas Processing Plant",True,"Notification for Completion of Construction (submitted 10/31/2014) In petchem because plant has frac capacity

https://ir.kindermorgan.com/news/news-details/2011/Kinder-Morgan-Copano-Increase-Processing-Capacity-in-Eagle-Ford-Shale-Execute-Long-Term-Agreement-with-Williams-Partners/default.aspx#:~:text=The%20joint%20venture's%20combined%20capacity,day%20of%20NGL%20fractionation%20and

https://ir.kindermorgan.com/news/news-details/2011/Copano-Energy-Announces-400000-Mcf-Per-Day-Expansion-of-Its-Houston-Central-Processing-Capacity/default.aspx",9339851.0,34795525.0,3.44,15.43,EIP Test Account,2913,2913,Alexandra Shaykevich,Copano Houston Gas Plant - Cryogenic Plant No. 3,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:52.473934Z', 'version': 47}",,,,,,,,,,
2020,2020,30.46,Expansion,0.04,33458.0,165595.0,,,Oil,34.0,29.68,Partially Operating,"[{'id': 'lqcs3kmnvh1498d4i02es9hu3g', 'name': '2021.03.18_Buckeye Texas Hub - Expansion_Title V Dev Rprt Aug 2020 thru Feb 2021.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 4828852, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/u5j32tdbdp3sraideeu6dvp1o4'}]","{'name': None, 'file_name': '2021.03.18_Buckeye Texas Hub - Expansion_Title V Dev Rprt Aug 2020 thru Feb 2021.pdf', 'url': 'https://api.oilandgaswatch.org/d/21/cb/21cb067a624544d5987e5dabe670a0a6.1643214496.pdf'}",5.73,"TCEQ Permit No. 106594 technical review from 9/27/2019, change in allowable emission rates column",Construction of new facilities and modifications that would allow the Hub to store and transport more crude oil and other liquids.,Crude Oil Terminal,True,"CM 9/8/22: still not sign of VCU3-6 operating
TCEQ permit no. 106594 Amendment Application (revised November 2018)

Permit No. 106594 amended 10/23/2019 to modify testing frequencies. No compliance documents could be located that demonstrate operating status. Need to submit FOIA. Most recent semiannual report (submitted 8/5/2020) covering the period of January 1, 2020 through June 30, 2020 only lists 2 VCUs (1 and 2) operating. GHGPSDTX185 authorized VCU 3-6. ",7661490.0,28542807.0,27.91,39.75,EIP Test Account,2914,2914,Alexandra Shaykevich,Buckeye Texas Hub Expansion,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:53.144003Z', 'version': 48}",,2023-05-10T00:00:00Z,,,,,,,,
2016,2016,60.69,Expansion,0.02,17982.0,89000.0,4.18,8360.0,Petrochemicals and Plastics,18.0,30.36,Operating,[],,2.18,,"Plant capacity expansion, which includes: installation of a second steam methane reformer, hydrogen peroxide production and processing equipment, and additional carbon adsorption capacity control increase flow from oxidation and reversion processes.",Other Inorganic Chemicals,True,,4117713.0,15340498.0,0.15,22.87,EIP Test Account,2915,2915,Alexandra Shaykevich,Hydrogen Peroxide Plant Expansion,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:53.820738Z', 'version': 45}",,,22.0,,,,,,,
2019,2019,71.95,Expansion,0.03,22948.0,113578.0,4.3,8600.0,"Hydrogen, Petrochemicals and Plastics",23.0,28.25,Operating,"[{'id': 'ghq4jq0gn52ib6a9f31f4gmtvo', 'name': '2019.3.21_Eastman Chemical TN_Start-Up Certification for H2 Plants.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 313518, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/chup7itdil13t2k3fbh85a9tmg'}]","{'name': None, 'file_name': '2019.3.21_Eastman Chemical TN_Start-Up Certification for H2 Plants.pdf', 'url': 'https://api.oilandgaswatch.org/d/58/c6/58c697e7afc24116a903572411ba379c.1635882775.pdf'}",4.17,"Criteria emissions taken from Permit 973589 Emissions Summary (net change). CO2e and HAPs from permit application.

Total HAP: 86.28 to 90.58 TPY
Methanol: 57.35 to 60.83 TPY
CO2e: 328,327 to 441,905 TPY

Hydrogen Plant No. 6 Unit ID = PES B-633-1
Emission Source Reference No. = 82-0003-298 (MSOP-24)",Construction of a sixth hydrogen plant at Eastman Chemical's existing plastic resins manufacturing complex.,Hydrogen Plant,True,"According the attached start-up certification, Hydrogen Plant No. 6 began operating on May 6, 2019. Permit 973589 (issued 1/29/2018) authorized construction of Hydrogen Plant 6.

Permit 976169 (issued 3/25/2019) combined plants 3-6 into a single source:
""PES H2 Plants (82-0003-305): Eastman requested that existing Hydrogen Plants No. 3 and 4 (82-0003-251, PES B-391-1), Existing Hydrogen Plant No. 5 (82-0003-252, PES B-533-1), and new Hydrogen Plant No. 6 (82-0003-298, PES B-633-1) be combined into a new PES H2 Plants (82-0003-305).""

All other construction permits issued led to minor emissions increases and significant net reductions. Permit 978695 (issued 2/16/2021) authorized construction of a Plastics Processing Facility & Methanolysis Plant, which manufactures dimethyl terephthalate and ethylene glycol.

Permit No. 979538 (application submitted 10/22/2021 to modify Permit 978695) would add a new recovery device to a what was previously an atmospheric vent.

Net decreases of Nox = -1689.23, but based on the application, it seems like limits are based on maximum allowable.

https://dataviewers.tdec.tn.gov/pls/enf_reports/apex_util.count_click?p_url=BGAPC.GET_DOCUMENTS?p_file=432837833946966096&p_cat=DOCS&p_id=432837833946966096&p_user=APEX_PUBLIC_USER&p_workspace=19833722515258996",5254849.0,19576889.0,0.33,4.1,EIP Test Account,2916,2916,Alexandra Shaykevich,Eastman Chemical TN - Hydrogen Plant No. 6,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:54.560119Z', 'version': 48}",,,,,,,,,,
,2028,217.75,New,0.1,79047.0,391235.0,15.45,30900.0,Natural Gas,80.0,226.94,Proposed,[],,25.17,"0520-00486-V1 (draft permit issued 4/23/2021); 0520-00486-V0 (issued 6/14/2016; extended 6/14/2018 and 5/14/2020); FERC Docket No. CP14-120

1st extension to commence construction requested 6/7/2018, issued 6/14/2018.
2nd extension requested 4/13/2020, issued 5/14/2020, expires 6/14/2022.
Application for V1 permit submitted 12/9/2020 and would update emissions w/ newer engine models; public notice ends 5/23/2021.; Emissions from V1 draft permit; GHGs on pg. 53.",Construction of a new compressor station as part of the Lake Charles LNG Pipeline Modifications Project.,Compressor Station,True,"AS 10/7/22: updated operating year from 2024 to 2028 to match pipeline project (based on latest FERC extension)

Construction to commence 8/2023. - Proposed Permit# 0520-00486-V1 (4/23/2021) ",18101049.0,67435279.0,2.02,136.03,EIP Test Account,2917,2917,Alexandra Shaykevich,Iowa Compressor - Initial Construction,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:55.250302Z', 'version': 45}",,2022-10-07T00:00:00Z,,2028,,,,,,
2020,2020,16.87,New,0.02,18485.0,91488.0,0.45,900.0,Natural Gas,19.0,26.63,Operating,[],,6.94,"FOIA submitted 5/28/2020 for 59-00035A (issued 8/15/2018), application, technical reviews. Emissions taken from FERC EA (Docket No. CP18-89). Extension to commence construction issued 2/4/2020; new deadline to construct is 8/13/2021 (PA Bulletin Vol. 50, Issue 8). ""The 21,068 hp Jackson Compressor Station in Tioga County, Pennsylvania was placed into service on July 11, 2020 as confirmed by our In-Service Notice dated July 13, 2020."" (FERC notice of in-service, 9/21/2020)","Construction of a new 21,068 horsepower compressor station.",Compressor Station,True,"FOIA submitted 5/28/2020 for 59-00035A (issued 8/15/2018), application, technical reviews. Emissions taken from FERC EA (Docket No. CP18-89). Extension to commence construction issued 2/4/2020; new deadline to construct is 8/13/2021 (PA Bulletin Vol. 50, Issue 8). ""The 21,068 hp Jackson Compressor Station in Tioga County, Pennsylvania was placed into service on July 11, 2020 as confirmed by our In-Service Notice dated July 13, 2020."" (FERC notice of in-service, 9/21/2020) FOIA submitted 5/28/2020 for 59-00035A (issued 8/15/2018), application, technical reviews. Emissions taken from FERC EA (Docket No. CP18-89). Extension to commence construction issued 2/4/2020; new deadline to construct is 8/13/2021 (PA Bulletin Vol. 50, Issue 8). ""The 21,068 hp Jackson Compressor Station in Tioga County, Pennsylvania was placed into service on July 11, 2020 as confirmed by our In-Service Notice dated July 13, 2020."" (FERC notice of in-service, 9/21/2020)",4232824.0,15769343.0,2.35,2.3,EIP Test Account,2918,2918,Lottie Mitchell,Jackson Compressor Station - Initial Construction,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:55.926543Z', 'version': 45}",,,,,,,,,,
2016,2016,59.1,New,0.04,29826.0,147621.0,22.31,44620.0,Natural Gas,30.0,127.16,Operating,[],,9.19,"Emissions are the sum of R13-3269 - R13-3269B. Criteria emission increases taken from Fact Sheets. R13-3269A updated facility wide fugitive, venting, and pigging emissions calculation (VOCs increased by ~19 tpy) (GHGs taken from permit application, submitted 7/5/2016, page 148). R13-3269B was a major mod to update emissions associated w/ blowdowns, pig receivers, glycol dehydration, storage tanks (VOCs increased by ~42 tpy, GHGs by ~1000). GHG emission totals taken from permit application for R13-3269B, submitted 8/7/2017, page 108, total facility post-mod pte.","Construction of new compressor station with four compressor engines, five microturbines, two TEG dehydration units, two fuel gas heaters and two produced liquid storage tanks.",Compressor Station,True,"Emissions are the sum of R13-3269 - R13-3269B. Criteria emission increases taken from Fact Sheets. R13-3269A updated facility wide fugitive, venting, and pigging emissions calculation (VOCs increased by ~19 tpy) (GHGs taken from permit application, submitted 7/5/2016, page 148). R13-3269B was a major mod to update emissions associated w/ blowdowns, pig receivers, glycol dehydration, storage tanks (VOCs increased by ~42 tpy, GHGs by ~1000). GHG emission totals taken from permit application for R13-3269B, submitted 8/7/2017, page 108, total facility post-mod pte. Emissions are the sum of R13-3269 - R13-3269B. Criteria emission increases taken from Fact Sheets. R13-3269A updated facility wide fugitive, venting, and pigging emissions calculation (VOCs increased by ~19 tpy) (GHGs taken from permit application, submitted 7/5/2016, page 148). R13-3269B was a major mod to update emissions associated w/ blowdowns, pig receivers, glycol dehydration, storage tanks (VOCs increased by ~42 tpy, GHGs by ~1000). GHG emission totals taken from permit application for R13-3269B, submitted 8/7/2017, page 108, total facility post-mod pte.",6829897.0,25444716.0,0.68,156.98,EIP Test Account,2919,2919,Lottie Mitchell,Janus Compressor Station - Initial Construction,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:56.652654Z', 'version': 45}",,,,,,,,,,
2019,2019,60.6,New,0.02,17294.0,85596.0,0.86,1720.0,Natural Gas,18.0,59.0,Operating,[],,11.3,"4922-163-0037-E-01-0 (issued 1/21/2015),  4922-163-0037-B-02-0 (issued 3/3/2020); FERC Docket No. CP14-103; Permit No. 4922-163-0037-E-01-1 (issued 3/24/2015) was an administrative amendment to modify the equipment list in Permit Condition 3.1 due to a typographical error. Permit No. 4922-163-0037-B-02-0 removed one compressor turbine that was never built but previously permitted for in 4922-163-0037-E-01-1. Facility qualifies as a minor source after 2020 modification.

Lat/long taken from ECHO. In-service date assumed to be same as Elba LNG terminal, Phase 1.",Construction of a new compressor station to support the Elba Island LNG Terminal expansion.,Compressor Station,True,"Company website, available at: https://ir.kindermorgan.com/news/news-details/2019/Kinder-Morgan-Announces-Commercial-in-Service-of-the-First-Unit-at-the-Elba-Island-Liquefaction-Facility/default.aspx ",3960222.0,14753767.0,2.13,20.8,EIP Test Account,2920,2920,Alexandra Shaykevich,Jefferson County Compressor - Initial Construction,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:57.344469Z', 'version': 45}",,,,,,,,,,
2019,2019,79.4,New,0.02,15665.0,77533.0,10.8,21600.0,Natural Gas,16.0,69.5,Operating,"[{'id': 'efa4ghmo390n58j3lgmpmo4hi8', 'name': '2019.03.14_Jewell Plant_start-up notification.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 358879, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/g7dt2bhhn96n352vk6vjn02mh8'}, {'id': 'udj0d2hdgp1890bfhdb2pe5n84', 'name': '2021.08.16_Jewell Plant_start-up notification.pdf', 'mediaType': 'application/pdf', 'enablePublicUrl': True, 'signedUrlTimeout': 60, 'uploadUrlTimeout': 86400, 'size': 283281, 'version': 1, 'url': 'https://us-east-1.storage.xata.sh/9osvt8mfd900taurnnua3kb48o'}]","{'name': None, 'file_name': '2021.08.16_Jewell Plant_start-up notification.pdf', 'url': 'https://api.oilandgaswatch.org/d/4a/a7/4aa76a154c054d8191bd935f4cc2cef0.1678989207.pdf'}, {'name': None, 'file_name': '2019.03.14_Jewell Plant_start-up notification.pdf', 'url': 'https://api.oilandgaswatch.org/d/2b/ef/2bef5b56703f424b886cbb6cc7dc2403.1678989218.pdf'}",0.0,,Construction of a new gas plant.,Gas Processing Plant,True,,3587176.0,13363987.0,0.0,130.0,EIP Test Account,2921,2921,Lottie Mitchell,Jewell Gas Plant - Initial Construction,"{'createdAt': '2021-05-24T22:56:59.087Z', 'updatedAt': '2024-07-30T17:45:58.015046Z', 'version': 48}",,,,,,,,,,
