AirToxicsCancerRiskNATACancerRisk,AirToxicsCancerRiskNationalAverage,AirToxicsCancerRiskPercentile,AirToxicsCancerRiskPercentile_OLD,CancerPrevalence,CancerPrevalenceNationalAverage,CancerPrevalencePercentile,City,CountyFIPSCode,CountyFIPSCode_text,CountyorParish,ECHOLink1,EPAFRSID1,EstimatedPopulationwithin3miles,FacilityDescription,GHGRPID1,GHGRPLink,Latitude,LinktoEJSCREENReport,Location,Longitude,PercentLow-IncomeNationalAverage,PercentLow-IncomePercentile,PercentLow-Incomewithin3miles,PercentPeopleofColorNationalAverage,PercentPeopleofColorPercentile,PercentPeopleofColorwithin3miles,PercentPeopleover64YearsOldwithin3miles,Percentover64YearsOldNationalAverage,Percentover64YearsOldPercentile,Percentunder5YearsOldNationalAverage,Percentunder5YearsOldPercentile,Percentunder5YearsOldwithin3miles,PlasticsInventory,PrimaryNAICSCode,Published,ResearchNotes,State,StateFacilityIDNumbers,StreetAddress,ZIPCode,created_by,facility_name,id,id_qaqc,modified_by,xata,PrimarySICCode,ECHOLink2,EPAFRSID2,FacilityFootprint,EPAFRSID3,GHGRPID2,PlasticsInventory_ToAdd
20.0,25.0,5.0,<50th,5.9,6.4,36.0,Midland,48329.0,48329,Midland County,https://echo.epa.gov/detailed-facility-report?fid=110070394014,110070394014.0,13.0,"The Newberry Gas Plant is part of Navitas Midstream's Midland Basin Processing Complex, which consists of several gas processing plants operating in close proximity in Midland and Glasscock Counties in Texas. The plant's two processing trains have the capacity to process up to 305 MMscf of natural gas per day. The complex receives gas from Upton, Midland, Martin, Howard, Glasscock, and Reagan counties. Processed gas from the complex is sent off-site through a number of interconnected pipelines to Waha, Katy, Agua Dulce, and North Texas, while natural gas liquids are sent through pipelines to locations on the Texas Gulf Coast including Sweeny, Mont Belvieu, and Corpus Christi, and Conway, KS.",,,31.8522,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-101.7782,%22y%22:31.8522,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-101.7782 31.8522),-101.7782,30.0,82.0,51.0,40.0,83.0,80.0,2.0,18.0,3.0,5.0,19.0,1.0,,"211112, 211111",True,"CM 12/19/23 deleted: On September 19, the Texas Commission on Environmental Quality issued a draft renewal of Newberry Gas Processing Plant’s operating permit, permit number O3959. Public comment on the proposed operating permit is open at least until October 19.

https://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=regent.showSingleRN&re_id=303504122016200",TX,RN109272526,14108 East County Rd. 230,79706,Courtney Bernhardt,Midland Basin Processing Complex - Newberry Gas Plant,4139,4139,Keene Kelderman,"{'createdAt': '2021-09-27T13:52:59.292Z', 'updatedAt': '2024-12-04T17:47:18.292867Z', 'version': 284}",1321,,,,,,
20.0,25.0,5.0,<50th,6.0,6.4,38.0,Midland,48173.0,"48329, 48173","Midland County, Glasscock County",,,10.0,"The Taylor Gas Plant is part of Enterprise Navitas Midstream's Midland Basin Processing Complex, which consists of five gas processing plants operating in close proximity in Midland and Glasscock Counties in Texas. The plant consists of two units with a combined capacity to process up to 475 MMscfd of natural gas. The complex receives gas from Upton, Midland, Martin, Howard, Glasscock, and Reagan counties. Processed gas from the complex is sent off-site through a number of interconnected pipelines to Waha, Katy, Agua Dulce, and North Texas, while natural gas liquids are sent through pipelines to locations on the Texas Gulf Coast including Sweeny, Mont Belvieu, and Corpus Christi, and Conway, KS.",,,31.8445,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-101.7756,%22y%22:31.8445,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-101.7756 31.8445),-101.7756,30.0,79.0,48.0,40.0,81.0,77.0,3.0,18.0,4.0,5.0,24.0,2.0,,,True,,TX,RN110371002,CR 230 (approx. 1.5 mi E from 1379 S),79706,Courtney Bernhardt,Midland Basin Processing Complex - Taylor and Lieker Gas Plants,4141,4141,Kira Burkhart,"{'createdAt': '2021-09-27T13:54:18.248Z', 'updatedAt': '2024-12-04T17:47:18.426747Z', 'version': 286}",,,,,,,
20.0,25.0,5.0,<50th,6.0,6.4,38.0,Midland,48173.0,48173,Glasscock County,https://echo.epa.gov/detailed-facility-report?fid=110071163203,110071163203.0,10.0,"The Trident Gas Plant is part of Enterprise Navitas Midstream's Midland Basin Processing Complex, which consists of several gas processing plants operating in close proximity in Midland and Glasscock Counties in Texas. The plant has the capacity to process up to 240 MMcfd of natural gas. The Enterprise announced plans to add a new 300 MMcfd plant to the site by the middle of 2023 (""Plant 6""), bringing total processing capacity to 520 MMcfd. The complex receives gas from Upton, Midland, Martin, Howard, Glasscock, and Reagan counties. Processed gas from the complex is sent off-site through a number of interconnected pipelines to Waha, Katy, Agua Dulce, and North Texas, while natural gas liquids are sent through pipelines to locations on the Texas Gulf Coast including Sweeny, Mont Belvieu, and Corpus Christi, and Conway, Kansas.",,,31.857994,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-101.763099,%22y%22:31.857994,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-101.763099 31.857994),-101.763099,30.0,79.0,48.0,40.0,81.0,77.0,3.0,18.0,4.0,5.0,24.0,2.0,,211130,True,,TX,RN110654027,,79706,Courtney Bernhardt,Midland Basin Processing Complex - Trident Gas Plant,4142,4142,Kira Burkhart,"{'createdAt': '2021-09-27T13:55:01.428Z', 'updatedAt': '2024-12-04T17:47:18.631938Z', 'version': 284}",,,,,,,
20.0,25.0,5.0,<50th,8.4,6.4,88.0,TBD,42035.0,42035,Clinton County,,,5.0,"The KeyState Natural Gas Synthesis Plant is a proposed facility in West Keating Township, Clinton County, Pennsylvania, that would use fracked gas extracted from the Marcellus Shale formation to produce hydrogen, ammonia, and urea. Hydrogen would be sold for use as fuel and ammonia and urea would be sold for industrial uses.
<a href=""https://keystate.net/arch2/"">According to the company</a>, the site would also have the capacity to store more than 500,000 tons of carbon dioxide per year.",,,41.234767,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-77.959742,%22y%22:41.234767,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-77.959742 41.234767),-77.959742,30.0,70.0,40.0,40.0,8.0,4.0,25.0,18.0,80.0,5.0,44.0,4.0,,,True,"CM 1/30/24 deleted On October 13, 2023, the Department of Energy [announced](https://www.whitehouse.gov/briefing-room/statements-releases/2023/10/13/biden-harris-administration-announces-regional-clean-hydrogen-hubs-to-drive-clean-manufacturing-and-jobs/) funding for seven regional hydrogen hubs, including $925 million for the Appalachian Regional Clean Hydrogen Hub (ARCH2). This project [will be funded](https://keystate.net/arch2/) through the ARCH2 grant.

PB 11/20/23 - added ARCH2 to facility name and latest updates section (https://keystate.net/arch2/), added separate CCS project, updated completion dates (https://happyvalleyindustry.com/2-billion-keystate-project-poised-to-make-generational-change/#:~:text=The%20project%20includes%20a%20closed,deep%20underground%20for%20permanent%20storage)

AS 2/2/23 - promising to permanently sequester 300,000 tons of industrial CO2 per year. Investment from OGCI Climate Investments announced in June 2022, would be used to deliver pre-FEED activities
https://www.ogci.com/ogci-climate-investments-invests-in-keystate-natural-gas-synthesis-first-carbon-capture-and-storage-project-in-pennsylvania-us/

project website created. promising to generate zero carbon electricity. H2 would be used for fuel; ammonia for ""industrial, manufacturing, medical, and agriculture uses"" although some would be converted to DEF. capacity tbd
https://keystate.net/projects/pa/

AS 5/24/2022: location approximated based on maps in links below:
https://www.pennlive.com/news/2020/02/nearly-500-million-natural-gas-synthesis-plant-planned-in-western-clinton-county.html
https://www.post-gazette.com/business/powersource/2021/08/15/A-laboratory-at-scale-a-hydrogen-carbon-storage-shale-drilling-and-urea-project-has-hit-the-industry-zeitgeist-at-just-the-right-time/stories/202108080048

LM 1/10/2022: ""The plant is to be built on a 30 acre site, part of the old 7,000 acre Winner tract in rural West Keating Township."". Could not find exact location or lat/long",PA,TBD,,,Alexandra Shaykevich,ARCH2 KeyState Natural Gas Synthesis Plant,4144,4144,CM,"{'createdAt': '2021-09-27T18:45:00.889Z', 'updatedAt': '2024-12-04T17:47:18.8975Z', 'version': 285}",,,,,,,
30.0,25.0,52.0,50-60th,6.4,6.4,47.0,Lake Charles,22019.0,22019,Calcasieu Parish,https://echo.epa.gov/detailed-facility-report?fid=110000549513,110000549513.0,5757.0,"The former Pelican Lake Charles Asphalt Refinery is currently shut down, but was sold to Searaven Glauben, LLC in August 2020. Currently, it has the capacity to process up to 30,000 barrels of oil per day into asphalt, according to permit documents. Searaven has announced plans to expand the refinery to process up to 60,000 barrels of oil per day.",1004636.0,https://ghgdata.epa.gov/ghgp/service/facilityDetail/2021?id=1004636&ds=E&et=&popup=true,30.286927,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-93.144538,%22y%22:30.286927,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-93.144538 30.286927),-93.144538,30.0,71.0,40.0,40.0,69.0,56.0,10.0,18.0,23.0,5.0,76.0,8.0,,324110,True,"LM 11/23/21: FRS ID https://echo.epa.gov/detailed-facility-report?fid=110000549513

Previously Pelican Lake Charles Refinery

AS 6/12/23 - nothing in edms indicates ownership change. valid minor operating permit (renewal) issued 3/3/22
https://edms.deq.louisiana.gov/app/doc/view?doc=13180090",LA,13058,4646 Hwy 3059,70615,Courtney Bernhardt,Lake Charles Asphalt Refinery,4166,4166,Kira Burkhart,"{'createdAt': '2021-09-30T16:49:57.196Z', 'updatedAt': '2024-12-04T17:47:19.036426Z', 'version': 284}",2911,,,,,,
20.0,25.0,1.0,<50th,8.0,6.4,82.0,Aransas Pass,48355.0,48355,Nueces County,,,2213.0,"The Harbor Island Booster Station is part of the Bluewater SPM Deepwater Port (DWP) onshore infrastructure. Located on Harbor Island off the coast of Texas, it will house the pumping infrastructure that will help transport crude oil through the proposed pipeline to the DWP. Additionally, the Harbor Island Booster Station will be the primary administration and operations building to support operations at the DWP.",,,27.850475,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-97.067344,%22y%22:27.850475,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-97.067344 27.850475),-97.067344,30.0,49.0,26.0,40.0,28.0,14.0,30.0,18.0,88.0,5.0,30.0,3.0,,486110,True,"Location taken from 2019 map, MARAD Application Appendix 1, pg 35
Zip for Aransas Pass, TX = 78373, but location TBD so not included

Sept. 10, 2020 facility design update: ""Since submission of the DWPLA, a preferred option has been designed which eliminates the originally proposed four (4) storage tanks and pumps from Harbor Island. The revised design still maintains pipeline flushing capabilities. This will be accomplished through the versatile use of previously-planned crude oil storage tanks and a new water storage tank located at the planned onshore Multi-Use Terminal (MUT)."" Bluewater SPM Project (MARAD-2019-0094) Communication",TX,TBD,,,Rani Kumar,Harbor Island Booster Station,4174,4174,Kira Burkhart,"{'createdAt': '2021-09-30T18:56:53.213Z', 'updatedAt': '2024-12-04T17:47:19.193537Z', 'version': 284}",4612,,,,,,
20.0,25.0,5.0,<50th,5.5,6.4,30.0,Taft,48409.0,48409,San Patricio County,,,100.0,"Midway Terminal is a proposed pipeline breakout station and petroleum storage terminal in San Patricio County, Texas. The Midway Terminal would connect to approximately 55 miles of pipeline infrastructure and a proposed booster station on Harbor Island, which would ultimately supply 1,920,000 barrels of crude oil every day to the Bluewater Deepwater Port located approximately 25 miles offshore in the Gulf of Mexico.",,,27.924722,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-97.425,%22y%22:27.924722,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-97.425 27.924722),-97.425,30.0,44.0,23.0,40.0,70.0,57.0,11.0,18.0,28.0,5.0,83.0,9.0,,486110,True,"https://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=regent.showSingleRN&re_id=447325192019227

Point location taken from STEERS application (8/21/2019)",TX,RN110834538,Intersection of CR 3161 and CR 1906,78390,Rani Kumar,Midway Terminal,4178,4178,Kira Burkhart,"{'createdAt': '2021-10-01T19:31:42.335Z', 'updatedAt': '2024-12-04T17:47:19.372157Z', 'version': 284}",4612,,,POINT(-97.425 27.924722),,,
30.0,25.0,52.0,50-60th,5.9,6.4,37.0,Ragley,22011.0,22011,Beauregard Parish,,,1893.0,"The Indian Bayou Compressor is a proposed compressor station that would be located on a 40-acre tract of land in Beauregard Parish, Louisiana, approximately six miles south of Ragley. It is being constructed as part of the Driftwood Line 200 and Line 300 pipeline project, which would deliver up to 5.7 billion cubic feet of natural gas per day to LNG terminals, petrochemical facilities, and other industrial consumers around Lake Charles, Louisiana.",,,30.43972,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-93.2175,%22y%22:30.43972,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-93.2175 30.43972),-93.2175,30.0,51.0,27.0,40.0,7.0,3.0,15.0,18.0,46.0,5.0,79.0,8.0,,486210,True,"""Although the proposed facility is classified bv SIC Code 4922. none of the fee codes listed for this SIC meet the intended facility configuration which uses electric motor driven compression. Further, since the facility is not producing electricity
for sale. SIC Code 4911 does not apply Given this ambiguity. Driftwood Pipeline LLC is electing to use the negotiated fee code 1712 for the initial permit application submittal."" -initial LDEQ permit app

Location of compressor updated in 10/13/2021 application and CPCN app - manually converted from deg/min/sec, location hasn't been updated in EDMS as of 1/19/2022",LA,229293,Intersection of Hwy 12 and US 171,70657,Alexandra Shaykevich,Indian Bayou Compressor,4204,4204,Kira Burkhart,"{'createdAt': '2021-10-07T14:48:01.092Z', 'updatedAt': '2024-12-04T17:47:19.523754Z', 'version': 284}",4922,,,,,,
36.0,25.0,52.0,50-60th,7.1,6.4,62.0,Westlake,22019.0,22019,Calcasieu Parish,https://echo.epa.gov/detailed-facility-report?fid=110070132619,110070132619.0,13820.0,"The Lake Charles Methanol & Sulfuric Acid Bulk Terminal is a proposed petrochemical storage and terminal facility that would be located in Calcasieu Parish, Louisiana, next to an existing tank farm. The terminal would receive liquid methanol and sulfuric acid by pipeline from the proposed Lake Charles Methanol Facility, which would be stored on-site and later exported to supply regional refiners and distributors.

Originally proposed in 2013, construction of the Methanol & Sulfuric Acid Bulk Terminal has been delayed by the Port's main supplier—Lake Charles Methanol.",,,30.192969,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-93.301253,%22y%22:30.192969,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-93.301253 30.192969),-93.301253,30.0,31.0,17.0,40.0,33.0,17.0,16.0,18.0,51.0,5.0,62.0,6.0,,493190,True,"Facility description sources:
-initial permit application",LA,190235,3501 Bayou D'Inde Rd,70669,Alexandra Shaykevich,Lake Charles Methanol & Sulfuric Acid Bulk Terminal,4210,4210,Kira Burkhart,"{'createdAt': '2021-10-08T09:49:18.885Z', 'updatedAt': '2024-12-04T17:47:19.669583Z', 'version': 284}",4226,,,,,,
25.0,25.0,5.0,<50th,5.6,6.4,33.0,Midland,48329.0,48329,Midland County,https://echo.epa.gov/detailed-facility-report?fid=110071301632,110071301632.0,77.0,"The Legacy Gas Plant is a new natural gas processing plant located in the Permian Basin of West Texas, in Midland County. The facility is able to process 650 million cubic feet of natural gas per day.",,,31.67121,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-101.981975,%22y%22:31.67121,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-101.981975 31.67121),-101.981975,30.0,74.0,43.0,40.0,75.0,66.0,5.0,18.0,10.0,5.0,51.0,5.0,,,True,"AS 2/23/23 - updated facility description. previously: ""The Legacy Gas Plant will be a new 650 million cubic foot per day cryogenic natural gas processing plant in Texas' Permian Basin. According to Targa's website, the plant is expected to be operational by the end of 2022. The plant was authorized as an expansion of Targa's UNPLP Compressor Station.""

Operating permit issued 12/16/22 and includes both processing trains.

https://www.targaresources.com/operations/gathering-processing-segment
https://www2.tceq.texas.gov/airperm/index.cfm?fuseaction=airpermits.project_report&proj_id=333438

Lat/long approximate and will need to be updated when permit documents with lat/longs are available. The location shown here (cb 10/28/2021) are from the narrative description in the permit final action dated 10/13/2021.

https://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=regent.showSingleRN&re_id=848704742021015",TX,RN111169397,,79706,Courtney Bernhardt,Targa Legacy Gas Plant,4238,4238,Kira Burkhart,"{'createdAt': '2021-10-12T19:03:38.647Z', 'updatedAt': '2024-12-04T17:47:19.833692Z', 'version': 284}",,,,,,,
10.0,25.0,1.0,<50th,8.4,6.4,89.0,Beulah,38057.0,38057,Mercer County,,,27.0,"Announced in June 2021, the Great Plains Hydrogen Hub would have produced ""blue hydrogen"" from natural gas while sequestering carbon dioxide underground. It would have been built at an existing synfuels plant (the Great Plains Synfuels Plant), which Bakken Energy planned to purchase from the Basin Electric Power's subsidiary, the Dakota Gasification Company. It would have had the design capacity to produce up to 310,000 metric tons of hydrogen per year. Plans for the project <a href=""https://bismarcktribune.com/news/state-and-regional/bakken-energys-plans-for-beulah-hydrogen-hub-fizzle/article_5bf110a6-9dce-11ed-97d6-0b8f475676c3.html"">fell through</a> in January 2023, when the companies ceased negotiations over the sale of the synfuels plant.",,,47.360598,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-101.838134,%22y%22:47.360598,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-101.838134 47.360598),-101.838134,30.0,56.0,30.0,40.0,27.0,14.0,21.0,18.0,67.0,5.0,45.0,4.0,,,True,"Previously Great Plains Synfuel Plant

https://www.bakkenenergy.com/press-releases/bakken-energy-reaches-agreement-to-purchase-dakota-gasification-company-assets/",ND,,420 County Rd 26,58523,Courtney Bernhardt,Great Plains Hydrogen Hub,4268,4268,Preet Bains,"{'createdAt': '2021-10-19T13:40:38.468Z', 'updatedAt': '2024-12-04T17:47:19.980296Z', 'version': 286}",,,,,,,
,,5.0,,7.2,6.4,66.0,Trenton,38105.0,38105,Williams County,,,250.0,"This proposed gas-to-liquids plant in Williams County, North Dakota, would convert natural gas to liquid fuels, like diesel and naphtha. Cerilon also plans to capture and sequester up to 900,000 metric tons of carbon dioxide per year, or around 33 percent of the projected CO2 emissions from the plant. The project has already received $50 million in state funding from the North Dakota <a href=""https://www.commerce.nd.gov/news/burgum-commerce-announce-nd-development-fund-support-cerilon-build-28b-gas-liquids-plant"">Department of Commerce</a> and the North Dakota <a href=""https://us-east-1.storage.xata.sh/33g2loitbp1338t8h2fdgq5nis"">Industrial Commission</a>.",,,48.03031694595085,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-103.872227938214,%22y%22:48.0303169459509,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",,-103.87222793821438,30.0,26.0,14.0,40.0,52.0,33.0,9.0,18.0,21.0,5.0,71.0,7.0,,325199,True,"AS 10/1/24 - updated address and lat/longs based on PSD app/ceris profile;  updated facility description re capture rates and capacity
https://ceris.deq.nd.gov/ext/nsite/map/results/detail/467936693834564486/profile
---
https://constructionreviewonline.com/news/natural-gas-conversion-plant-to-be-constructed-in-north-dakota/

AS 8/16/2022 - removed from facility description:
The North Dakota Department of Commerce committed $3 million in state funding for the project in October 2021. Construction is expected to begin in 2023 and, according to state records, would allow rail and pipeline access and presents carbon sequestration opportunities. The plant is expected to continue expanding after initial construction.",ND,10500268,14781 42nd St NW,58853,Courtney Bernhardt,Cerilon Gas-to-Liquids Plant,4272,4272,AS,"{'createdAt': '2021-10-19T14:13:14.785Z', 'updatedAt': '2024-12-04T17:47:20.133049Z', 'version': 308}",2869,,,,,,
40.0,25.0,52.0,50-60th,4.7,6.4,16.0,Houston,48201.0,48201,Harris County,https://echo.epa.gov/detailed-facility-report?fid=110064847108,110064847108.0,76786.0,"The Enterprise Crude Houston (ECHO) Terminal is an existing crude oil terminal located southeast of Houston, Texas, which receives, stores, and transports crude oil and crude condensate. Proposed expansion of the facility from the SPOT Deepwater Port project would connect the ECHO Terminal to the planned Oyster Creek Terminal via a 50.1 mile crude oil pipeline.",,,29.614767,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-95.18359,%22y%22:29.614767,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-95.18359 29.614767),-95.18359,30.0,60.0,33.0,40.0,81.0,77.0,12.0,18.0,32.0,5.0,53.0,5.0,,48611,True,"actual name = ENTERPRISE CRUDE HOUSTON STATION

company = ENTERPRISE CRUDE PIPELINE LLC

https://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=regent.showSingleRN&re_id=951420622011024",TX,RN106070816,6849 1/2 E Sam Houston Pkwy S,77034,Alexandra Shaykevich,Enterprise Crude Houston (ECHO) Terminal,4283,4283,Kira Burkhart,"{'createdAt': '2021-10-20T20:45:05.47Z', 'updatedAt': '2024-12-04T17:47:20.288322Z', 'version': 284}",4612,,,,,,
20.0,25.0,5.0,<50th,5.9,6.4,37.0,Tarzan,48317.0,48317,Martin County,,,63.0,"The Cameroon Compressor Station is part of Navitas Midstream's Midland Basin Gathering System, which pipes unseparated natural gas and natural gas liquids from oil and gas wells to Navitas' Midland Basin Processing Complex.",,,32.269689,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-102.007029,%22y%22:32.269689,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-102.007029 32.269689),-102.007029,30.0,59.0,32.0,40.0,60.0,43.0,13.0,18.0,35.0,5.0,56.0,5.0,,,True,"LM 6/17/2022: Coordinates taken from pg. 19 of NRSP registration.

https://www2.tceq.texas.gov/airperm/index.cfm?fuseaction=airpermits.project_report&proj_id=332795&addn_num_txt=166309

LM 1/10/2022: from TCEQ - ""FROM TARZAN GO SOUTH 0.5MI TO CR3500 GO WEST 2.3MI GO SOUTH ON LEASE RD 0.8 AND THEN GO WEST INTO THE SITE""
using these instructions, I think this is the location (32.274416015695486, -102.0086333764443), but want to confirm with permit doc",TX,RN111324448,,79783,Courtney Bernhardt,Cameroon Compressor Station,4291,4291,Kira Burkhart,"{'createdAt': '2021-10-21T19:56:27.133Z', 'updatedAt': '2024-12-04T17:47:20.415027Z', 'version': 284}",,,,,,,
10.0,25.0,1.0,<50th,7.9,6.4,82.0,Belfield,38007.0,38007,Billings County,https://echo.epa.gov/detailed-facility-report?fid=110070540684,110070540684.0,975.0,"The Davis Refinery is a proposed oil refinery located on a 620-acre site in Billings County, just west of the town of Belfield, and only three miles from Theodore Roosevelt National Park. If constructed, the Davis Refinery would be capable of processing approximately 49,500 barrels of crude oil per day extracted from the Bakken shale formation into gasoline, diesel fuel, jet fuel, and liquefied petroleum gas (or ""LPG""). The Davis Refinery was originally expected to begin operating in early 2018, but the project has been delayed by five years due to litigation and financing delays.",,,46.88257,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-103.245663,%22y%22:46.88257,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-103.245663 46.88257),-103.245663,30.0,43.0,23.0,40.0,16.0,7.0,16.0,18.0,49.0,5.0,76.0,8.0,,324110,True,"No address listed on DEQ facility page. Zip code approximate based on address of nearby Arrow K Farms. (AS 10/22/2021)

https://ceris.deq.nd.gov/ext/nsite/map/results/detail/2910467809821752379

capacity from: https://law.justia.com/cases/north-dakota/supreme-court/2020/20190220.html
was subject to lawsuit - air permit states 55,000 bpd - ND supreme court rules in Meridian's favor in September 2020",ND,2868,Approx. 2 miles W of Belfield,58622,Alexandra Shaykevich,Davis Refinery,4301,4301,Kira Burkhart,"{'createdAt': '2021-10-22T12:27:40.001Z', 'updatedAt': '2024-12-04T17:47:20.550382Z', 'version': 284}",2911,,,,,,
20.0,25.0,5.0,<50th,5.7,6.4,34.0,Midland,48329.0,48329,Midland County,,,35.0,"The Dos Picos Gas Plant is a relatively new gas processing plant located in Midland County, Texas. Once construction of Dos Picos II is completed in early 2024, it will be able to process up to 400 million standard cubic feet of fracked gas every day from the Permian basin in West Texas.",,,31.88272,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-101.86781,%22y%22:31.88272,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-101.86781 31.88272),-101.86781,30.0,88.0,60.0,40.0,88.0,89.0,0.0,18.0,0.0,5.0,0.0,0.0,,211130,True,"https://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=regent.showSingleRN&re_id=747407072021320

https://www.mrt.com/business/oil/article/Pinnacle-Midstream-awards-contract-for-Dos-Picos-16532872.php?sid=60fdade79e7f677ae24c7ba0&utm_source=newsletter&utm_medium=email&utm_campaign=MRT_DailyHeadlines
------
AS 11/6/23 - removed from latest news: Recently announced expansion projects at gas plants in the Permian Basin of Texas could add 400 million standard cubic feet per day of processing capacity. The [Red Lake 2 Gas Plant](https://oilandgaswatch.org/facility/5740) in Martin County is expected to begin operating in the first half of 2023, followed by a second processing train at the Dos Picos Gas Plant in Midland County in early 2024.",TX,RN111372876,CR 1090 (approx. 20 mi SE from I20 and Hwy 158),79706,Courtney Bernhardt,Dos Picos Gas Plant,4316,4316,Kira Burkhart,"{'createdAt': '2021-10-26T16:32:40.445Z', 'updatedAt': '2024-12-04T17:47:20.751845Z', 'version': 284}",1321,,,,,,
10.0,25.0,1.0,<50th,5.9,6.4,37.0,Orla,48109.0,48109,Culberson County,https://echo.epa.gov/detailed-facility-report?fid=110071154587,110071154587.0,6.0,"The Preakness Gas Plant is a newly-built gas processing plant located in Culberson County, Texas, that began operating at the end of 2021. Once construction of the Preakness II plant is completed in mid-2024, the facility will be able to process 400 million cubic feet of natural gas per day. ",,,31.978914,"https://ejscreen.epa.gov/mapper/mobile/EJSCREEN_mobile.aspx?geometry={%22x%22:-104.187617,%22y%22:31.978914,%22spatialReference%22:{%22wkid%22:4326}}&unit=9035&areatype=&areaid=&basemap=hybrid&distance=3",POINT(-104.187617 31.978914),-104.187617,30.0,77.0,46.0,40.0,76.0,67.0,32.0,18.0,90.0,5.0,57.0,5.0,,211130,True,"https://www15.tceq.texas.gov/crpub/index.cfm?fuseaction=iwr.viewAddnDetail&addn_id=554433032019115&rn=RN110761236&return=regent&re_id=549433032019115

updated RN number (AS 11/19/21)",TX,RN110761236,9.75 miles west of US Hwy 285,79772,Courtney Bernhardt,Preakness Gas Plant,4321,4321,AS,"{'createdAt': '2021-10-26T16:45:56.216Z', 'updatedAt': '2024-12-04T17:47:20.914639Z', 'version': 286}",1311,,,,,,
